experiment,n,gaps_mean,gaps_std,enemies_per100_mean,enemies_per100_std,pipes_mean,pipes_std,blocks_mean,blocks_std,divergence_mean,divergence_std
11_v2_beats:baseline,2,3.0,0.0,8.018867924528301,0.0,1.0,0.0,44.0,0.0,0.0,0.0
11_v2_beats:pcg,332,2.8704819277108435,0.5312890409086434,1.8867924528301887,0.4115763511335145,0.0,0.0,13.159638554216867,2.5119287353906534,0.0,0.0
11_v2_beats_4:pcg,630,2.026984126984127,0.6027774477997213,0.9433962264150944,0.0,0.0,0.0,15.515873015873016,4.320495259148694,0.0,0.0
11_v2_beats_5:baseline,303,1.0,0.0,0.4716981132075472,0.0,0.0,0.0,25.0,0.0,0.0,0.0
11_v2_beats_5:pcg,27,4.62962962962963,1.6207345947997243,1.5548567435359888,0.6774540819640371,0.0,0.0,32.77777777777778,8.106660762480981,0.0,0.0
11_v2_beats_6:pcg,23,3.782608695652174,1.1263989983825946,2.4405250205086135,1.060984070029308,0.0,0.0,32.69565217391305,11.359556579889006,0.0,0.0
